sikayet,temiz_sikayet
Türk Telekom aboneliğimi 29 haziranda sonlandırdım ve hattımı başka operatöre taşıdım. Son faturamı da ödedim ve borcum kalmadı ama şimdi bana 2000 liralık fatura kesilmiş. Hiç kullanmadığım abonesi bile olmadığım firma bana nasıl fatura kesebilir. Ayrıca müşteri hizmetlerini arıyorum kesinlikle cev...,türk telekom aboneliğimi 29 haziranda sonlandırdım ve hattımı başka operatöre taşıdım. son faturamı da ödedim ve borcum kalmadı ama şimdi bana 2000 liralık fatura kesilmiş. hiç kullanmadığım abonesi bile olmadığım firma bana nasıl fatura kesebilir. ayrıca müşteri hizmetlerini arıyorum kesinlikle cev...
TurkNet abonesiyim fakat Türk Telekom tarafından Yaklaşık 2 aydır dairemin fiber kabloları çekildi. Fiber internete geçmek için TurkNet'i aradım altyapımın VDSL göründüğünü fiber desteklemediğini konu ile alakalı Türk Telekom ile görüşmem gerektiği söylendi. Türk Telekom'u aradığımda TurkNet müşteri...,turknet abonesiyim fakat türk telekom tarafından yaklaşık 2 aydır dairemin fiber kabloları çekildi. fiber internete geçmek için turknet i aradım altyapımın vdsl göründüğünü fiber desteklemediğini konu ile alakalı türk telekom ile görüşmem gerektiği söylendi. türk telekom u aradığımda turknet müşteri...
Beyler TTNET'ten modem sipariş ettim AGT kuryemi dir. Nedir bu bana ulaştıracak firma daha önce kullanmadım bilmiyorum. Müşteri hizmetlerinin 7 gün içinde evinize gelir demesine rağmen bana 1 aylık teslim süresi verdi. Ben bin pişmanım bir daha siparişlerimde asla bu firmayı kullanmayacağım. Adamlar...,beyler ttnet ten modem sipariş ettim agt kuryemi dir. nedir bu bana ulaştıracak firma daha önce kullanmadım bilmiyorum. müşteri hizmetlerinin 7 gün içinde evinize gelir demesine rağmen bana 1 aylık teslim süresi verdi. ben bin pişmanım bir daha siparişlerimde asla bu firmayı kullanmayacağım. adamlar...
Yeni aldığım daireme internet bağlatmak istiyorum fakat bizden önce oturan kişinin aboneliğine ait iş emri bulunuyor. Türk Telekom müşteri hizmetlerini aradığımda sorun olmayacağını ve başvuruyu alabileceklerini söyledi. Fakat örneğin t*** ve V*N** üzerinden sorguladığımda ilgili adreste farklı bir ...,yeni aldığım daireme internet bağlatmak istiyorum fakat bizden önce oturan kişinin aboneliğine ait iş emri bulunuyor. türk telekom müşteri hizmetlerini aradığımda sorun olmayacağını ve başvuruyu alabileceklerini söyledi. fakat örneğin t ve v n üzerinden sorguladığımda ilgili adreste farklı bir ...
"Ülkemi seven biri olarak bugün fark ettim ki yerli ve milli adı altında hiçbir ürün veya marka kullanılmamalı. Fiber internet için yaptığım altyapı başvurusunda, Türk Telekom ekipleri tarafından çekilen altyapı kablolarının hepsi çekilip daire bağlantısı için elektrikçi çağırmamız gerektiği, apartma...","ülkemi seven biri olarak bugün fark ettim ki yerli ve milli adı altında hiçbir ürün veya marka kullanılmamalı. fiber internet için yaptığım altyapı başvurusunda, türk telekom ekipleri tarafından çekilen altyapı kablolarının hepsi çekilip daire bağlantısı için elektrikçi çağırmamız gerektiği, apartma..."
"15+ yıldır kullandığım Türk Telekom tarafından mağdur edildim. Bir firma nasıl bu kadar kötü olabilir, anlatmak istiyorum. Geçen sene paket aşımında duran paket varken, bu sene internet bittikten sonra 5 dakikalık kullanım için 360 TL fatura geldi. Zaten aylık 350 TL ödüyoruz. Ne açık bir uyarı var,...","15 yıldır kullandığım türk telekom tarafından mağdur edildim. bir firma nasıl bu kadar kötü olabilir, anlatmak istiyorum. geçen sene paket aşımında duran paket varken, bu sene internet bittikten sonra 5 dakikalık kullanım için 360 tl fatura geldi. zaten aylık 350 tl ödüyoruz. ne açık bir uyarı var,..."
"Eşimin adına kayıtlı, ancak benim kullandığım Türk Telekom hattımı, askeri personel olmam nedeniyle sınır ötesinde çekmediği için Turkcell'e taşıttım. Taşıma işlemini zorunlu olarak gerçekleştirdim, fakat buna rağmen 3.932 TL gibi yüksek bir fatura ile karşılaştım ve bu durum beni şaşırttı. Ailemde ...","eşimin adına kayıtlı, ancak benim kullandığım türk telekom hattımı, askeri personel olmam nedeniyle sınır ötesinde çekmediği için turkcell e taşıttım. taşıma işlemini zorunlu olarak gerçekleştirdim, fakat buna rağmen 3.932 tl gibi yüksek bir fatura ile karşılaştım ve bu durum beni şaşırttı. ailemde ..."
"Hayatımda sizin kadar sorunlara çözüm bulamayan bir firma görmedim. Sizi arıyorum ve diyorum ki: Home office çalışıyorum. Evimde Wi-Fi varken, telefon internetimden çalışmak zorunda kalmak istemiyorum. Benim talebimle uzaktan yeniden başlatma işlemi yapılıyor ancak sorun hala devam ediyor. Hizmeti d...","hayatımda sizin kadar sorunlara çözüm bulamayan bir firma görmedim. sizi arıyorum ve diyorum ki home office çalışıyorum. evimde wi fi varken, telefon internetimden çalışmak zorunda kalmak istemiyorum. benim talebimle uzaktan yeniden başlatma işlemi yapılıyor ancak sorun hala devam ediyor. hizmeti d..."
"Türk Telekom'dan taşınabilir modem aldım. 300 GB ve 4.5G hızında olmasına rağmen şöyle bir sorunumuz var: 4.5G'yi bırakın, 3G interneti bile sağlamıyor; 3-4 MB hızda kullanıyoruz. Ürünü alırken Türk Telekom çalışanları, herhangi bir sorun yaşamayacağımı ve 4.5G'nin çekmediği bir alan olmadığını söyl...","türk telekom dan taşınabilir modem aldım. 300 gb ve 4.5g hızında olmasına rağmen şöyle bir sorunumuz var 4.5g yi bırakın, 3g interneti bile sağlamıyor 3 4 mb hızda kullanıyoruz. ürünü alırken türk telekom çalışanları, herhangi bir sorun yaşamayacağımı ve 4.5g nin çekmediği bir alan olmadığını söyl..."
"Yaklaşık bir ay önce, yaşlı anne ve babamın (80 ve 68 yaşında) evinde 16 Mbps limitsiz fiber Türk Telekom internet hizmeti başlattık. Ancak son iki gündür hiç internet hizmeti alamıyoruz. Destek hattını aradığımda, fiziksel bir kablo kopması durumu olmadığı sürece teknik ekip göndermeyeceklerini, e...","yaklaşık bir ay önce, yaşlı anne ve babamın 80 ve 68 yaşında evinde 16 mbps limitsiz fiber türk telekom internet hizmeti başlattık. ancak son iki gündür hiç internet hizmeti alamıyoruz. destek hattını aradığımda, fiziksel bir kablo kopması durumu olmadığı sürece teknik ekip göndermeyeceklerini, e..."
"24.07.2025 tarihinde Lambacı sok. Bora apt no 2 d 6 Koşuyolu adresinde bağlı olan Türk Telekom internet hizmetim belirttiğim adresin önünde, cadde üzerinde, Vodafone fiber altyapı kazı çalışması yapıldığı anda kesilmiştir. O günden beri sürekli olarak Türk Telekom'u arayıp bildirimlerde ve şikayette...","24.07.2025 tarihinde lambacı sok. bora apt no 2 d 6 koşuyolu adresinde bağlı olan türk telekom internet hizmetim belirttiğim adresin önünde, cadde üzerinde, vodafone fiber altyapı kazı çalışması yapıldığı anda kesilmiştir. o günden beri sürekli olarak türk telekom u arayıp bildirimlerde ve şikayette..."
Hattımı Türk Telekom'dan Turkcell'e taşıdım. Bu süreçte 10 günlük bir taahhüt bozma durumum oldu. Bu taahhüt bozma ücreti ne kadar yansır diye Türk Telekom yetkililerine danıştım. Bana 100-200 TL tutarı bir ücretten bahsettiler. Ancak hattıma yansıyan fark 800 TL oldu. Hani 100 lira hani 600 lira no...,hattımı türk telekom dan turkcell e taşıdım. bu süreçte 10 günlük bir taahhüt bozma durumum oldu. bu taahhüt bozma ücreti ne kadar yansır diye türk telekom yetkililerine danıştım. bana 100 200 tl tutarı bir ücretten bahsettiler. ancak hattıma yansıyan fark 800 tl oldu. hani 100 lira hani 600 lira no...
Türk Telekom pişmanlıktır. Haftalık 4 GB internet paketi satın almadığım halde tarafıma 500 TL gibi bir fark ücreti yansıltılmıştır. Müşteriyi daha çok fatura bedeli yansıtırız derdindeler. Tek seferlik haftalık 4 GB internet paketi almama rağmen bilgim dışında faturama haftalık 4 defa 500 TL'lik in...,türk telekom pişmanlıktır. haftalık 4 gb internet paketi satın almadığım halde tarafıma 500 tl gibi bir fark ücreti yansıltılmıştır. müşteriyi daha çok fatura bedeli yansıtırız derdindeler. tek seferlik haftalık 4 gb internet paketi almama rağmen bilgim dışında faturama haftalık 4 defa 500 tl lik in...
"Online olarak Türk Telekom ev interneti için başvuruda bulundum. Müşteri hizmetleri aradı, sözleşmeler onaylandı eksikler giderildi. Kurulum için 21 Temmuz gününe randevu verildi. O tarih bana uygun olmadığı için müşteri hizmetlerini aradım ve randevu güncellemesi yapıldı. 28 Temmuz tarihine. Güncel...","online olarak türk telekom ev interneti için başvuruda bulundum. müşteri hizmetleri aradı, sözleşmeler onaylandı eksikler giderildi. kurulum için 21 temmuz gününe randevu verildi. o tarih bana uygun olmadığı için müşteri hizmetlerini aradım ve randevu güncellemesi yapıldı. 28 temmuz tarihine. güncel..."
"Telekom şirketi kadar dürüst olmayan bir firma görmedim. Bu şirketle kesinlikle iş yapılmamalı. Bir buçuk aydır kablo kesik olduğunu bildiriyorum, onlar ise sürekli olarak ekiplerimizi yönlendirdik ya da altyapı çalışması var diyorlar. Ancak mahallede hiçbir çalışma göremiyorum. Çalışmanın iptal edi...","telekom şirketi kadar dürüst olmayan bir firma görmedim. bu şirketle kesinlikle iş yapılmamalı. bir buçuk aydır kablo kesik olduğunu bildiriyorum, onlar ise sürekli olarak ekiplerimizi yönlendirdik ya da altyapı çalışması var diyorlar. ancak mahallede hiçbir çalışma göremiyorum. çalışmanın iptal edi..."
"Türk Telekom ev internetim 10 gündür kesik. Müşteri hizmetleri sürekli 'bugün, yarın, şu saatte gelecek' diye bilgi veriyor, ancak hiçbir şekilde gelmiyor. Turkcell altyapı kurulumunda Türk Telekom hatlarını koparmışlar ve onarım yapılmadan gitmişler sanırım. Fakat Türk Telekom'un konu ile ilgili hi...","türk telekom ev internetim 10 gündür kesik. müşteri hizmetleri sürekli bugün, yarın, şu saatte gelecek diye bilgi veriyor, ancak hiçbir şekilde gelmiyor. turkcell altyapı kurulumunda türk telekom hatlarını koparmışlar ve onarım yapılmadan gitmişler sanırım. fakat türk telekom un konu ile ilgili hi..."
"Isparta Yazısöğüt Köyü'nde 3 aydır internetim arızalı. Türk Telekom ekipleri ne yapıyor acaba? Engelli bir bireyim ve tek eğlencem internet. Lütfen artık şu sorunu çözün. Sürekli günü uzatıp duruyorlar, 3 ay oldu. Firma o kadar reklam yapıp övünüyor ama köydeki arızayı hala çözemiyor.","isparta yazısöğüt köyü nde 3 aydır internetim arızalı. türk telekom ekipleri ne yapıyor acaba? engelli bir bireyim ve tek eğlencem internet. lütfen artık şu sorunu çözün. sürekli günü uzatıp duruyorlar, 3 ay oldu. firma o kadar reklam yapıp övünüyor ama köydeki arızayı hala çözemiyor."
"Türk Telekom müşteri hizmetlerine asla ulaşamıyorum. Oradan başka bir yere aktarıyorlar, ancak bir açıklama yapan yok. Kafalarına göre işlem yapıyorlar. Bu neden oldu diye sorduğumda açıklama yapılmıyor. Sadece pişmanlık yaşıyorum. Cuma günü hattımı kesinlikle taşıyacağım. Sanki başka firma yok.","türk telekom müşteri hizmetlerine asla ulaşamıyorum. oradan başka bir yere aktarıyorlar, ancak bir açıklama yapan yok. kafalarına göre işlem yapıyorlar. bu neden oldu diye sorduğumda açıklama yapılmıyor. sadece pişmanlık yaşıyorum. cuma günü hattımı kesinlikle taşıyacağım. sanki başka firma yok."
"Türk Telekom internet kesme problemi: Hattınızın 3 Ağustos'ta kesileceğine dair mesaj geliyor. Sonrasında ise 27 Temmuz'da internet kesiliyor. Ben her ayın başında ödeme yapıyorum, sadece açma kapama parası alabilmek için yanlış bir yol izliyorsunuz. Elimde SMS var, gerekli yerlere de sizi şikayet e...","türk telekom internet kesme problemi hattınızın 3 ağustos ta kesileceğine dair mesaj geliyor. sonrasında ise 27 temmuz da internet kesiliyor. ben her ayın başında ödeme yapıyorum, sadece açma kapama parası alabilmek için yanlış bir yol izliyorsunuz. elimde sms var, gerekli yerlere de sizi şikayet e..."
Balıkesir Merkez Taşpınar Mahallesinde ikamet etmekteyim. Yaşadığımız bölgede birçok evde internet hattı bulunmaktadır. Fakat yeni yapılmış olan bizim evimizin ve bizimle birlikte yeni 4-5 evin bulunduğu sokakta internet direği olmadığından günlerdir Türk Telekom'dan gelip internet hattı için direk ...,balıkesir merkez taşpınar mahallesinde ikamet etmekteyim. yaşadığımız bölgede birçok evde internet hattı bulunmaktadır. fakat yeni yapılmış olan bizim evimizin ve bizimle birlikte yeni 4 5 evin bulunduğu sokakta internet direği olmadığından günlerdir türk telekom dan gelip internet hattı için direk ...
"Türk Telekom evden internet hizmeti tam anlamıyla büyük bir sorun halini aldı. Günümüzde internet, artık lüks değil, temel bir ihtiyaç; eğitimden çalışma hayatına, bankacılıktan iletişime kadar her şey internet üzerinden gerçekleşiyor. Ancak Türk Telekom’un altyapı yetersizliği, müşteri hizmetlerind...","türk telekom evden internet hizmeti tam anlamıyla büyük bir sorun halini aldı. günümüzde internet, artık lüks değil, temel bir ihtiyaç eğitimden çalışma hayatına, bankacılıktan iletişime kadar her şey internet üzerinden gerçekleşiyor. ancak türk telekom un altyapı yetersizliği, müşteri hizmetlerind..."
"Türk Telekom'un çalıştığı dijital kurye ile ilgili ciddi bir sorun yaşadım. Online başvuru kabul edilmesine rağmen, teslimat işlemi gerçekleşmedi ve bu konuda herhangi bir çözüm sunulmadı. Hat taşıma işlemleri tamamlandı ancak teslimat yapılmadı ve bu durum mağduriyet oluşturdu. Firma, çalıştığı kur...","türk telekom un çalıştığı dijital kurye ile ilgili ciddi bir sorun yaşadım. online başvuru kabul edilmesine rağmen, teslimat işlemi gerçekleşmedi ve bu konuda herhangi bir çözüm sunulmadı. hat taşıma işlemleri tamamlandı ancak teslimat yapılmadı ve bu durum mağduriyet oluşturdu. firma, çalıştığı kur..."
Türk Telekom altyapısı binamızda bulunmasına rağmen firma internet bağlamamaktadır. Sistem üzerinde altyapı yoktur. Hatası vermektedir. İzmit Türk Telekom müdürlüğünden başvuru yapmamıza rağmen geri dönüş olmamaktadır. 1 aydır gidip geliyoruz ama her seferinde ilgili yerlere ilettik şeklinde cevap a...,türk telekom altyapısı binamızda bulunmasına rağmen firma internet bağlamamaktadır. sistem üzerinde altyapı yoktur. hatası vermektedir. i zmit türk telekom müdürlüğünden başvuru yapmamıza rağmen geri dönüş olmamaktadır. 1 aydır gidip geliyoruz ama her seferinde ilgili yerlere ilettik şeklinde cevap a...
25/07/2025 tarihinde Türk Telekom ev internetini kapattırdım. 15 dakika da kapattılar. Ancak uygulamaya girdiğimde hala hesabımın açık olduğunu gördüm...,25 07 2025 tarihinde türk telekom ev internetini kapattırdım. 15 dakika da kapattılar. ancak uygulamaya girdiğimde hala hesabımın açık olduğunu gördüm...
"Türk Telekom evde internet kullanmaktayım. 3 gündür beri internetim yok, müşteri hizmetlerini aradığımda canlı yardıma bağlandırmadan ""sorunun bölgesel kaynaklı olduğu, 5 gün boyunca internet olmayacağı"" söyleniyor. Sebebini sorduğumda ise bilgi verilmiyor ve ekstra şikayet kaydı oluşturulmuyor. So...","türk telekom evde internet kullanmaktayım. 3 gündür beri internetim yok, müşteri hizmetlerini aradığımda canlı yardıma bağlandırmadan sorunun bölgesel kaynaklı olduğu, 5 gün boyunca internet olmayacağı söyleniyor. sebebini sorduğumda ise bilgi verilmiyor ve ekstra şikayet kaydı oluşturulmuyor. so..."
"Türk Telekom mobil hattım var. Prime tarifelerinden birini kullanmaktaydım. Taahhüdüm bitince taahhütsüz bir biçimde kullanmaya devam ediyordum. Fakat beni aradılar ve 'Faturanız yüksek geliyor, dolayısıyla size 3 aylık %10 indirim yapalım' dediler. Daha sonra ise tüm Prime ayrıcalıklarımı iptal etm...","türk telekom mobil hattım var. prime tarifelerinden birini kullanmaktaydım. taahhüdüm bitince taahhütsüz bir biçimde kullanmaya devam ediyordum. fakat beni aradılar ve faturanız yüksek geliyor, dolayısıyla size 3 aylık 10 indirim yapalım dediler. daha sonra ise tüm prime ayrıcalıklarımı iptal etm..."
"4 temmuzda Türk Telekom'a geçmek için başvuruda bulundum bugün 26 Temmuz ve hala geçemedim. Bir hattı müşteriye iletmekten muzdaripler. 2 kez şubeden, 1 kez 2 saat yol giderek merkez şubeden başvurdum. Beceremedikleri için 3 kez de müşteri temsilcisinden başvurdum ve yaklaşık 20 gündür tarafıma diji...","4 temmuzda türk telekom a geçmek için başvuruda bulundum bugün 26 temmuz ve hala geçemedim. bir hattı müşteriye iletmekten muzdaripler. 2 kez şubeden, 1 kez 2 saat yol giderek merkez şubeden başvurdum. beceremedikleri için 3 kez de müşteri temsilcisinden başvurdum ve yaklaşık 20 gündür tarafıma diji..."
Yaklaşık 1-2 ay önce telefon hattımı Türk Telekom'a taşımak için müşteri hizmetleriyle iletişime geçtim ve o ay belirlenen fiyat üzerinden 12 ay taahhütlü tarifeye geçiş yaptım. Ancak bugün öğrendim ki geçtiğim tarife taahhütlü değilmiş. Aylık ödemem 150 TL civarında olması gerekirken 500 TL civarın...,yaklaşık 1 2 ay önce telefon hattımı türk telekom a taşımak için müşteri hizmetleriyle iletişime geçtim ve o ay belirlenen fiyat üzerinden 12 ay taahhütlü tarifeye geçiş yaptım. ancak bugün öğrendim ki geçtiğim tarife taahhütlü değilmiş. aylık ödemem 150 tl civarında olması gerekirken 500 tl civarın...
"Ben kimsenin kölesi değilim, çıkar ilişkileriyle ayakta kalanlardan da değilim. Bu ülkenin binlerce yıllık tarihine sahip çıkan bir Türk vatandaşıyım. Dedelerimiz bu Vatan için canlarını verdi, biz de ülkemizin hak ettiği şekilde hizmet almasını istiyoruz. Ancak bugün, 4000 yıllık tarihi olan Manis...","ben kimsenin kölesi değilim, çıkar ilişkileriyle ayakta kalanlardan da değilim. bu ülkenin binlerce yıllık tarihine sahip çıkan bir türk vatandaşıyım. dedelerimiz bu vatan için canlarını verdi, biz de ülkemizin hak ettiği şekilde hizmet almasını istiyoruz. ancak bugün, 4000 yıllık tarihi olan manis..."
"Bursa Osmangazi Çiftehavuzlar Çekirge Sokak No: 6'da oturmaktayım. Türk Telekom'a bağlı Bananet firması, fiber kablo çekerken evime yaptırdığım yalıtıma, merdiven kurarken zarar vermiştir. Binanın birçok yerine merdiven kurulmuş ve duvarlar hasar görmüştür. Firma tarafından bu zararın karşılanmasını...","bursa osmangazi çiftehavuzlar çekirge sokak no 6 da oturmaktayım. türk telekom a bağlı bananet firması, fiber kablo çekerken evime yaptırdığım yalıtıma, merdiven kurarken zarar vermiştir. binanın birçok yerine merdiven kurulmuş ve duvarlar hasar görmüştür. firma tarafından bu zararın karşılanmasını..."
Türk Telekom faturama haksız sebeple 3 kez Fiyat Yansımış. Sil Süpür Kampanyasından Vermiş Olduğu Youtube.com Paketi Harici Herhangi Bir İşlem Yapmadığım Halde Faturamı Yükseltmişler. Müşteri Hizmetlerini Aradığımda Biz bir şey Yapamıyoruz diyorlar Bu Şekilde Mağdur Olan Binlerce Vatandaş Var. Kendi...,türk telekom faturama haksız sebeple 3 kez fiyat yansımış. sil süpür kampanyasından vermiş olduğu youtube.com paketi harici herhangi bir i şlem yapmadığım halde faturamı yükseltmişler. müşteri hizmetlerini aradığımda biz bir şey yapamıyoruz diyorlar bu şekilde mağdur olan binlerce vatandaş var. kendi...
Bir haftadır takip ediyorum. Her gün gece 01.00 sularında internetim kesiliyor. Müşteri temsilcisi ile görüşmem esnasında sürekli olarak müşteri temsilcisinin ne hikmetse sesi gidiyor. Söylediklerim bana geri dönüyor ve telefon suratıma kapatılıyor. Bir de üstelik bu firma sözde telekomünikasyon dev...,bir haftadır takip ediyorum. her gün gece 01.00 sularında internetim kesiliyor. müşteri temsilcisi ile görüşmem esnasında sürekli olarak müşteri temsilcisinin ne hikmetse sesi gidiyor. söylediklerim bana geri dönüyor ve telefon suratıma kapatılıyor. bir de üstelik bu firma sözde telekomünikasyon dev...
"Bana sözler verildi. Haziran 2025 sonuna kadar tamamlanacak diye, bunu yapamadınız. Temmuz ayının 10. Gününde beni tekrar çağırıp ıslak imza alıp 1-2 güne tamamlıyoruz dediniz bunu da yapamadınız. 14 Temmuz'da bir şikayet oluşturdum 20 Temmuz'da buna dönüş yapıldı ve 25 Temmuz'a kadar altyapı süreci...","bana sözler verildi. haziran 2025 sonuna kadar tamamlanacak diye, bunu yapamadınız. temmuz ayının 10. gününde beni tekrar çağırıp ıslak imza alıp 1 2 güne tamamlıyoruz dediniz bunu da yapamadınız. 14 temmuz da bir şikayet oluşturdum 20 temmuz da buna dönüş yapıldı ve 25 temmuz a kadar altyapı süreci..."
"İnanılmaz sorumsuz bir firma. 10 gündür eve internet gelmedi, hâlâ wi-fi'yi bekliyoruz. Sürekli olarak şikayet kaydı oluşturuluyor fakat hiçbir çözüm üretilmiyor. Saha çalışanları çok yavaş ve gelmiyorlar. Sürekli olarak mağdur olursunuz.","i nanılmaz sorumsuz bir firma. 10 gündür eve internet gelmedi, h l wi fi yi bekliyoruz. sürekli olarak şikayet kaydı oluşturuluyor fakat hiçbir çözüm üretilmiyor. saha çalışanları çok yavaş ve gelmiyorlar. sürekli olarak mağdur olursunuz."
"Batman ilinden İzmir'e taşındım. Türk Telekom ev internetimin İzmir'e naklini istedim. 8 Temmuz'da nakil başvurusunda bulundum, bugün 25 Temmuz ve hala bağlantı sağlanmadı. Müşteri temsilcisini her aradığımda farklı bilgiler verip sürekli oyaladılar, bazen de telefon kesildi. Müşterisini bu kadar ma...","batman ilinden i zmir e taşındım. türk telekom ev internetimin i zmir e naklini istedim. 8 temmuz da nakil başvurusunda bulundum, bugün 25 temmuz ve hala bağlantı sağlanmadı. müşteri temsilcisini her aradığımda farklı bilgiler verip sürekli oyaladılar, bazen de telefon kesildi. müşterisini bu kadar ma..."
"Türk Telekom fiber paketi sattılar, altyapınız uygun diye ekiplerimiz gelecek, bağlayacak denildi. 07.04.2025 tarihinden itibaren hiçbir işlem yapılmadı. Her hafta internetim kopuyor. Bu kadar sorumsuz, müşterisine değer vermeyen bir firma görmedim. 25.07.2025 tarihinde hâlâ internet kesilmektedir. ...","türk telekom fiber paketi sattılar, altyapınız uygun diye ekiplerimiz gelecek, bağlayacak denildi. 07.04.2025 tarihinden itibaren hiçbir işlem yapılmadı. her hafta internetim kopuyor. bu kadar sorumsuz, müşterisine değer vermeyen bir firma görmedim. 25.07.2025 tarihinde h l internet kesilmektedir. ..."
"14 Haziran tarihinde Türk Telekom'a hattımı taşıdım. Taahhütlü olarak 350 ile 400 TL arası bir tutar söylendi. Bir ay sonra gelen faturam 1000 TL'nin üzerindeydi ve taahhüt yapılmadığını öğrendim. Türk Telekom'u aradığımda, Dijital Teknoloji Hizmetleri adında aracı bir firma üzerinden işlem yapıldığ...","14 haziran tarihinde türk telekom a hattımı taşıdım. taahhütlü olarak 350 ile 400 tl arası bir tutar söylendi. bir ay sonra gelen faturam 1000 tl nin üzerindeydi ve taahhüt yapılmadığını öğrendim. türk telekom u aradığımda, dijital teknoloji hizmetleri adında aracı bir firma üzerinden işlem yapıldığ..."
"Türk Telekom ev interneti nakil işlemi yapmak istiyorum. Müşteri hizmetlerine ulaşmak neredeyse imkânsız, hiçbir şekilde ulaşamıyorum. Şubeye gidiyorum, telefon üzerinden iletişime geçmemi söylüyorlar. Telefonla arıyorum, yine ulaşamıyorum. Müşteri hizmetlerine bağlanamıyorum. İletişimleri çok zayıf...","türk telekom ev interneti nakil işlemi yapmak istiyorum. müşteri hizmetlerine ulaşmak neredeyse imk nsız, hiçbir şekilde ulaşamıyorum. şubeye gidiyorum, telefon üzerinden iletişime geçmemi söylüyorlar. telefonla arıyorum, yine ulaşamıyorum. müşteri hizmetlerine bağlanamıyorum. i letişimleri çok zayıf..."
"Hattımı online olarak tam ve eksiksiz şekilde taşıdım. Taşıma işlemi gerçekleşti. Ancak esim geçişi sonrası esim bilgilerimi göndermiyorlar. Defalarca aradım, dönüş yapılmadı, çözüm sunulmadı, cevap verilmedi. Temsilciler konuya hakim değil ve farklı farklı yanlış bilgiler veriyorlar. 4 gündür telef...","hattımı online olarak tam ve eksiksiz şekilde taşıdım. taşıma işlemi gerçekleşti. ancak esim geçişi sonrası esim bilgilerimi göndermiyorlar. defalarca aradım, dönüş yapılmadı, çözüm sunulmadı, cevap verilmedi. temsilciler konuya hakim değil ve farklı farklı yanlış bilgiler veriyorlar. 4 gündür telef..."
10 yıldan fazladır Türk Telekom müşterisiyim. Ancak bugün başıma gelen olayı bir daha yaşamamak ya da başka müşterilerinizin de yaşamaması için kurumunuzca gerekli tedbirlerin alınmasını talep ediyorum. Olayın içeriği; 22 Temmuz 2025'te 0 850 771 18 17 numarasından arandım. Türk Telekom'dan aradıkl...,10 yıldan fazladır türk telekom müşterisiyim. ancak bugün başıma gelen olayı bir daha yaşamamak ya da başka müşterilerinizin de yaşamaması için kurumunuzca gerekli tedbirlerin alınmasını talep ediyorum. olayın içeriği 22 temmuz 2025 te 0 850 771 18 17 numarasından arandım. türk telekom dan aradıkl...
Türk Telekom'dan yeni bir hat almak istedim ve başvuru yaptım. Hat alım bilgisi eski eşimin telefonuna bildiri şeklinde gitti ve almış olduğum hattı iptal ettim. Aynı operatörden yeni hat almak istedim ve yetkili arkadaşa bu durumu özellikle belirttim; eski eşime hat bilgisi gidiyor böyle bir durum ...,türk telekom dan yeni bir hat almak istedim ve başvuru yaptım. hat alım bilgisi eski eşimin telefonuna bildiri şeklinde gitti ve almış olduğum hattı iptal ettim. aynı operatörden yeni hat almak istedim ve yetkili arkadaşa bu durumu özellikle belirttim eski eşime hat bilgisi gidiyor böyle bir durum ...
"Türk Telekom müşterisiydim. 22 Temmuz da hattıma ait taahhüdüm bitti. 21 Temmuz da Türk Telekom müşteri hizmetlerini arayarak farklı bir operatöre geçiş yapacağım yeni bir taahhüt vermemek için faturalı hattımı faturasıza taşımak istediğimi söyledim. 73,08 TL taahhüt süremi beklemediğim için bir ücr...","türk telekom müşterisiydim. 22 temmuz da hattıma ait taahhüdüm bitti. 21 temmuz da türk telekom müşteri hizmetlerini arayarak farklı bir operatöre geçiş yapacağım yeni bir taahhüt vermemek için faturalı hattımı faturasıza taşımak istediğimi söyledim. 73,08 tl taahhüt süremi beklemediğim için bir ücr..."
"Türk Telekom evde internetimi Mardin Kızıltepe'den İzmir Çiğli'ye nakil ettirmek için 10.07.2025 tarihinde nakil başvurusu yaptım. Bana ilk olarak naklimin 24.07.2025 tarihinde tamamlanacağı söylendi, fakat 23.07.2025 tarihinde saat 13:30 ile 18:00 arasında sizi ziyaret edeceğiz şeklinde SMS aldım. ...","türk telekom evde internetimi mardin kızıltepe den i zmir çiğli ye nakil ettirmek için 10.07.2025 tarihinde nakil başvurusu yaptım. bana ilk olarak naklimin 24.07.2025 tarihinde tamamlanacağı söylendi, fakat 23.07.2025 tarihinde saat 13 30 ile 18 00 arasında sizi ziyaret edeceğiz şeklinde sms aldım. ..."
"Yazlık sitemize Temmuz ortasında fiber altyapısı döşeniyor. (15 Eylül'e kadar tamamlanamaz deniyor.) Ayrıca, taşeron firma veya Türk Telekom mühendisliği gereği kabloların yerden belirli bir ölçünün altında geçmesi gerekirken, kablolar yerin üstüne taşmış durumda ve resimlerdeki gibi bırakıldı. Acil...","yazlık sitemize temmuz ortasında fiber altyapısı döşeniyor. 15 eylül e kadar tamamlanamaz deniyor. ayrıca, taşeron firma veya türk telekom mühendisliği gereği kabloların yerden belirli bir ölçünün altında geçmesi gerekirken, kablolar yerin üstüne taşmış durumda ve resimlerdeki gibi bırakıldı. acil..."
